Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)
78	1	0.000536	3.27	3.27	-6.39	-100	-44.9	-6.39	-100	-44.9
77	1	0.000876	3.06	3.13	-28.3	20	-53.9	-28.3	20	-53.9
76	1	0.000599	3.22	3.24	-48.7	10.8	-51.7	-48.7	10.8	-51.7
75	1	0.000896	3.05	3.12	-11.4	-8.99	-21.1	-11.4	-8.99	-21.1
74	1	4.41e-05	4.36	3.92	22.2	-0.222	-46.2	22.2	-0.222	-46.2
73	1	0.000154	3.81	3.61	-21.7	6.73	-51.8	-21.7	6.73	-51.8
72	1	0.000543	3.27	3.27	-1.45	-5.26	-39	-1.45	-5.26	-39
71	1	0.000685	3.16	3.2	69.8	0.967	-30.8	69.8	0.967	-30.8
70	1	0.000985	3.01	3.09	-15.3	-17.2	-53.5	-15.3	-17.2	-53.5
69	1	0.000577	3.24	3.25	7.67	-61.3	-52.1	7.67	-61.3	-52.1
68	1	0.000683	3.17	3.2	-29.1	-42.2	-43.1	-29.1	-42.2	-43.1
67	1	0.000971	3.01	3.1	-72.5	-17.9	-23.5	-72.5	-17.9	-23.5
66	1	0.000744	3.13	3.18	39.1	-12.1	-33.3	39.1	-12.1	-33.3
65	1	0.000419	3.38	3.34	25.6	-8.45	-33.5	25.6	-8.45	-33.5
64	1	0.000576	3.24	3.25	14.2	-74.6	-50	14.2	-74.6	-50
63	1	0.000109	3.96	3.7	-51.9	21.5	-47.9	-51.9	21.5	-47.9
62	1	0.000837	3.08	3.14	-34.2	23.8	13.4	-34.2	23.8	13.4
61	1	0.000629	3.2	3.23	57.3	34.3	9.01	57.3	34.3	9.01
60	1	0.000867	3.06	3.13	-3.46	45.8	8.72	-3.46	45.8	8.72
59	1	0.000901	3.05	3.12	-25.6	-93.5	39.3	-25.6	-93.5	39.3
58	1	0.000795	3.1	3.16	19.8	4.29	26.6	19.8	4.29	26.6
57	1	0.000377	3.42	3.37	63.8	9.59	24.4	63.8	9.59	24.4
56	1	0.000449	3.35	3.32	-35.3	-71.9	47.1	-35.3	-71.9	47.1
55	1	0.000816	3.09	3.15	-18.2	-56	43.8	-18.2	-56	43.8
54	1	2.39e-05	4.62	4.07	-43.7	56.1	25	-43.7	56.1	25
53	1	0.000757	3.12	3.17	66.8	-28.1	42.2	66.8	-28.1	42.2
52	1	0.000445	3.35	3.32	-19.9	62.8	28.9	-19.9	62.8	28.9
51	1	0.000688	3.16	3.2	-68.4	-30	52	-68.4	-30	52
50	1	0.000577	3.24	3.25	-20.9	-15	48.1	-20.9	-15	48.1
49	1	0.000966	3.01	3.1	-27.2	18	42.5	-27.2	18	42.5
48	1	0.000871	3.06	3.13	43	-3.87	-0.909	43	-3.87	-0.909
47	1	0.000923	3.03	3.11	50.4	0.249	49	50.4	0.249	49
46	1	0.00069	3.16	3.2	-30.2	41.8	44.1	-30.2	41.8	44.1
45	1	0.000302	3.52	3.43	-21.3	-59.1	67.1	-21.3	-59.1	67.1
44	1	0.000655	3.18	3.21	57.2	-2.37	55	57.2	-2.37	55
43	1	0.000622	3.21	3.23	-10.3	2.82	56	-10.3	2.82	56
42	1	0.000467	3.33	3.31	43.1	-50.3	69.3	43.1	-50.3	69.3
41	1	0.00079	3.1	3.16	-7.55	-51.3	76.6	-7.55	-51.3	76.6
40	1	0.000975	3.01	3.1	-10.3	-5.32	68.7	-10.3	-5.32	68.7
39	1	7.91e-05	4.1	3.78	6.06	-50.8	81.8	6.06	-50.8	81.8
38	1	5.67e-05	4.25	3.86	9.53	-44.3	80.6	9.53	-44.3	80.6
37	1	0.000527	3.28	3.28	26.5	-38.3	79	26.5	-38.3	79
36	1	0.000628	3.2	3.23	-27.6	-36.7	80.3	-27.6	-36.7	80.3
35	1	0.000261	3.58	3.47	-7.25	-34	79.3	-7.25	-34	79.3
34	1	0.000764	3.12	3.17	-20.2	-0.072	79.4	-20.2	-0.072	79.4
33	1	0.000948	3.02	3.11	3.14	-26.1	88.9	3.14	-26.1	88.9
32	1	0.00066	3.18	3.21	-24.3	-23.8	55.4	-24.3	-23.8	55.4
31	1	0.000463	3.33	3.31	53.3	28.5	-29.4	53.3	28.5	-29.4
30	1	0.000551	3.26	3.26	-24.3	40.5	-29.3	-24.3	40.5	-29.3
29	1	0.000346	3.46	3.39	11	-104	0.419	11	-104	0.419
28	1	0.000618	3.21	3.23	-2.2	-80.5	-3.26	-2.2	-80.5	-3.26
27	1	0.000286	3.54	3.44	-69.3	-39.3	-8.53	-69.3	-39.3	-8.53
26	1	0.000752	3.12	3.17	-65.7	-26.3	-10.9	-65.7	-26.3	-10.9
25	1	0.000437	3.36	3.33	-51.9	-12.7	-7.99	-51.9	-12.7	-7.99
24	1	0.000582	3.24	3.25	-21.3	-0.466	-11	-21.3	-0.466	-11
23	1	0.000266	3.57	3.46	-47.9	36.3	-16.6	-47.9	36.3	-16.6
22	1	0.000919	3.04	3.12	-36.1	-97.5	12	-36.1	-97.5	12
21	1	0.000407	3.39	3.35	35.2	-76.6	6.31	35.2	-76.6	6.31
20	1	0.000622	3.21	3.23	-65.2	1.62	-4.45	-65.2	1.62	-4.45
19	1	0.000938	3.03	3.11	9.48	22.4	-10.2	9.48	22.4	-10.2
18	1	0.000298	3.53	3.43	-61.5	27.7	-9.09	-61.5	27.7	-9.09
17	1	0.000133	3.88	3.65	73.7	-2.21	14.9	73.7	-2.21	14.9
16	1	0.000787	3.1	3.16	-19.1	-97.1	17.1	-19.1	-97.1	17.1
15	1	0.000158	3.8	3.6	69.4	-50.5	6.45	69.4	-50.5	6.45
14	1	0.000667	3.18	3.21	-52.2	-40.5	8.16	-52.2	-40.5	8.16
13	1	0.000363	3.44	3.38	-23.2	-81.8	-59	-23.2	-81.8	-59
12	1	0.000943	3.03	3.11	2.62	10.4	-2.24	2.62	10.4	-2.24
11	1	0.000285	3.54	3.45	-21.9	-60.1	16.4	-21.9	-60.1	16.4
10	1	0.000892	3.05	3.12	-65.3	-13.1	9.42	-65.3	-13.1	9.42
9	1	0.000853	3.07	3.14	21.6	-96.6	27.1	21.6	-96.6	27.1
8	1	0.000513	3.29	3.28	-59.3	-74.6	25.6	-59.3	-74.6	25.6
7	1	9.71e-05	4.01	3.73	-65.4	-25.3	17.2	-65.4	-25.3	17.2
6	1	0.000288	3.54	3.44	67	10.2	7.26	67	10.2	7.26
5	1	0.000641	3.19	3.22	-39	-77.6	31.2	-39	-77.6	31.2
4	1	0.000334	3.48	3.4	-48.9	-61	28.6	-48.9	-61	28.6
3	1	0.000104	3.98	3.71	22.4	-40.1	22.9	22.4	-40.1	22.9
2	1	0.000496	3.3	3.29	-34.7	-12.2	19.7	-34.7	-12.2	19.7
1	1	0.000575	3.24	3.25	-12.5	-104	18.1	-12.5	-104	18.1
